frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
48,955.4232,431.75183,959.5885,427.5866,951.25793,427.5866,963.75366,431.75183,945.01,433.83447,974.1669,456.7434,936.67944,450.49554,988.74536,487.9829,915.85315,460.9087,997.0758,515.0571,895.02686,471.32184,965.8363,508.8092,938.7621,506.72662,992.9105,552.5445,928.349,556.7098,1009.57166,594.19714,913.7705,602.52765
49,961.6901,433.45645,965.7358,431.43356,957.64435,431.43356,969.78156,435.47928,951.57587,435.47928,979.8958,459.7535,943.48444,453.68497,996.07855,488.07346,923.25586,465.8221,1002.14716,514.3706,901.0045,475.93637,969.78156,508.30203,945.50726,506.27914,1000.1243,552.8048,933.3702,556.85046,1020.35284,589.2162,913.1416,603.3761
50,969.16705,435.05096,971.27264,432.94543,962.8505,432.94543,975.4837,435.05096,956.5339,437.1565,986.0113,460.31732,948.11176,456.10626,1000.75006,487.6892,927.05646,468.73944,1009.1722,512.9556,910.2122,479.2671,977.5892,508.7445,950.21735,508.7445,1009.1722,552.9607,937.58417,555.0662,1028.1221,586.6492,914.4233,601.3879
51,975.6586,436.27527,979.5666,432.3673,969.7967,432.3673,983.4747,436.27527,963.93463,438.2293,993.24457,459.7232,954.16473,455.81525,1008.8765,487.0791,932.6707,471.4472,1018.64655,514.43506,918.9928,485.12512,987.3826,508.57306,958.0727,508.57306,1014.73846,553.5149,942.44073,555.46893,1036.2324,586.7328,917.0388,602.36475
52,975.63306,436.48682,979.53687,432.58307,971.72925,432.58307,983.44055,436.48682,963.92175,436.48682,993.19995,459.90942,954.16235,456.00568,1008.81506,487.23578,932.69165,471.62073,1018.57446,514.56213,919.02844,485.28394,987.34436,508.70654,958.06604,508.70654,1014.67065,553.59985,942.45105,555.5517,1036.1414,586.78186,917.07654,602.3969
53,982.5602,437.45364,986.4227,433.59103,978.6975,433.59103,990.2854,435.52237,970.9723,437.45364,1001.87317,460.6293,961.3158,456.7667,1019.2549,487.66757,942.0028,470.2858,1026.9801,512.77454,928.48364,481.87363,996.0792,506.98062,967.10974,506.98062,1021.1863,553.3319,949.728,553.3319,1038.568,588.09534,918.8271,601.6145
54,990.2438,434.37848,994.1742,430.44818,984.34827,430.44818,998.1045,434.37848,978.45276,434.37848,1007.9303,457.96057,970.59204,454.0302,1027.582,485.47296,948.9752,465.82123,1033.4775,509.055,935.219,477.61224,1002.0348,507.08984,972.55725,505.12463,1027.582,554.25397,952.9055,552.28876,1039.373,587.66187,925.3932,599.4529
55,994.98126,432.55185,998.9793,428.55386,990.9832,428.55386,1002.97723,432.55185,984.98615,432.55185,1012.97235,452.5419,974.99115,450.54294,1032.9624,482.527,953.00214,460.53793,1040.9585,504.51608,941.0081,472.532,1004.97626,502.51706,974.99115,502.51706,1028.9644,552.4923,955.00104,546.49524,1038.9595,588.47437,933.012,598.4694
56,999.7186,426.62762,1003.6924,422.65387,995.7449,422.65387,1007.66614,424.64075,987.79736,426.62762,1017.6006,448.4834,979.84973,442.5227,1037.4695,476.2998,952.0333,454.44403,1043.43,502.12927,944.0858,468.35223,1007.66614,496.16864,977.8629,496.16864,1029.5219,545.84076,959.98096,543.8539,1037.4695,585.5784,940.11206,593.526
57,1002.3731,423.3385,1006.4511,419.2605,998.2951,417.2215,1010.52924,421.2995,992.17804,421.2995,1020.7243,443.72864,981.983,437.61157,1039.0753,472.27484,953.4368,449.8457,1047.2313,498.78198,947.31976,464.11877,1008.4902,490.62598,981.983,488.5869,1030.9193,541.60126,963.6319,539.56226,1039.0753,584.42053,945.2807,586.4596
