frame 0
pose 0
1279.9308 338.12265 0.7565092
1230.9067 339.93835 0.7804969
1277.2073 359.00323 0.8144516
1234.5382 358.0954 0.8040958
1268.1287 365.35822 0.59809715
1245.4324 365.35822 0.5694497
1274.9376 378.52206 0.07855527
1245.8864 378.52206 0.12267104
1277.2073 360.81894 0.10572492
1232.7225 361.7268 0.16708747
pose 4
10.458199 360.19626 0.7569943
12.149757 355.1216 0.7647367
7.075096 355.1216 0.7997618
13.841316 358.5047 0.50580615
2.0004196 356.81314 0.6115463
10.458199 377.11182 0.5613852
3.6919785 372.03714 0.34911627
23.990646 399.10205 0.69087714
8.766647 409.25137 0.79684466
49.363976 417.70914 0.7155102
35.831535 444.77402 0.63467366
7.075096 436.31625 0.5312201
2.0004196 438.00778 0.51882744
57.821754 443.0825 0.7040038
47.672432 449.84872 0.74991554
69.662636 493.82913 0.7169511
57.821754 509.05313 0.76040983
pose 5
1664.6724 287.63696 0.90282834
1669.5059 284.4146 0.91959816
1663.0612 282.8034 0.94289017
1677.5618 286.02576 0.83299154
1656.6165 286.02576 0.86488366
1685.6176 306.97107 0.6837862
1650.1718 305.35986 0.72431654
1685.6176 334.36102 0.7251061
1640.5046 332.74988 0.554692
1661.45 337.58337 0.59661835
1656.6165 339.19458 0.32361603
1674.3394 356.91748 0.58243066
1646.9493 355.30634 0.5718713
1650.1718 379.47394 0.33689815
1621.1705 374.64044 0.38144657
1653.394 414.91986 0.29872942
1621.1705 418.1422 0.37147176
pose 6
666.70325 287.97113 0.8858178
669.4154 284.35486 0.88705283
663.991 284.35486 0.85469484
676.64795 286.163 0.90097266
660.37476 287.06708 0.8137185
683.8805 306.0525 0.6231844
654.9503 306.95657 0.6554536
690.209 332.27048 0.7743961
647.7178 330.46234 0.7482047
681.16833 350.35184 0.84496075
652.23816 349.44775 0.8339871
679.36017 355.77625 0.5749129
660.37476 353.9681 0.58471483
677.10004 372.5015 0.1588901
655.4024 372.5015 0.1640258
673.9358 371.1454 0.05131485
647.7178 352.15997 0.068788
pose 7
132.59238 97.4895 0.76344055
135.81686 92.65277 0.79988784
130.98013 92.65277 0.7874227
145.4903 92.65277 0.7720517
129.36789 92.65277 0.6714842
158.38821 113.61191 0.750891
126.14341 111.999664 0.7888712
163.22495 137.7955 0.5442008
121.306694 132.95879 0.63322043
143.87805 153.91791 0.5142137
121.306694 149.08119 0.65878546
156.77597 161.9791 0.5796415
134.20462 161.9791 0.562203
158.38821 205.50961 0.28048357
134.20462 195.83615 0.2776735
155.16373 221.63199 0.19951174
132.59238 240.97888 0.23675199
pose 8
467.1191 189.7952 0.6633979
469.42755 186.71729 0.65258133
464.81067 186.71729 0.6804487
475.58337 189.02573 0.6265244
460.19382 188.25626 0.64949554
484.0476 206.72372 0.67833906
450.96008 205.18475 0.67038316
487.89502 230.57751 0.46195048
446.34323 227.4996 0.36558336
481.7392 237.5028 0.21189375
464.81067 235.96387 0.1674059
478.66125 245.96707 0.5395338
455.57693 245.96707 0.5076802
479.4308 250.58395 0.041543484
450.57535 256.35504 0.05387962
487.89502 234.42493 0.09968246
469.42755 236.73334 0.07932097
pose 9
1586.8386 287.25745 0.32336012
1589.758 283.36493 0.37069243
1583.9192 283.36493 0.3960382
1596.5701 284.33807 0.3163307
1579.0537 284.33807 0.43473205
1603.3818 305.74695 0.40522477
1569.3223 305.74695 0.5467353
1600.4624 333.9677 0.40982056
1557.6448 331.04834 0.4598037
1581.0 339.80652 0.47882086
1560.5642 337.86023 0.5596159
1596.5701 352.4572 0.32054552
1570.2954 352.4572 0.38744262
1593.1641 373.37952 0.09645751
1555.6985 361.2154 0.1123907
1583.9192 340.7796 0.14451976
1590.7312 337.86023 0.06866836
pose 10
1668.6324 400.33203 0.91346747
1673.7479 396.49536 0.90923095
1668.6324 396.49536 0.89216405
1686.5367 400.33203 0.8688968
1686.5367 401.6109 0.4571805
1692.9312 431.0252 0.7114755
1680.1423 428.46747 0.6913769
1685.2579 477.06506 0.82144135
1669.9113 468.1129 0.7153439
1645.6124 482.1806 0.6178921
1644.3336 473.2284 0.597637
1686.5367 496.24835 0.53786045
1668.6324 488.57507 0.4605123
1623.8715 496.24835 0.725048
1614.2798 484.09894 0.58258474
1629.6263 525.02325 0.032493964
1629.6263 525.02325 0.074344374
pose 11
949.45874 133.2475 0.8065245
951.7573 128.65045 0.8205698
947.1603 128.65045 0.8294454
956.3544 130.94897 0.72802997
942.5631 130.94897 0.6534785
965.54846 149.33719 0.75736094
937.96606 151.63571 0.74602646
972.444 176.9195 0.5755327
933.369 176.9195 0.5650577
970.1455 195.30768 0.38266614
942.5631 190.71063 0.3675587
963.2499 206.8003 0.60400707
942.5631 209.09882 0.5814034
967.8469 250.47229 0.5484885
947.1603 250.47229 0.5815865
970.1455 291.8457 0.47006193
949.45874 289.54718 0.5455521
pose 12
949.467 134.31792 0.68589973
951.929 129.39377 0.6879866
947.0049 130.6248 0.67235255
956.8532 130.6248 0.4192199
943.31177 131.85583 0.45127437
965.4704 147.85931 0.61575323
937.1566 147.85931 0.59189546
972.8566 167.55591 0.54815114
932.2324 168.78694 0.48838872
971.6257 182.32835 0.510745
947.0049 187.25252 0.3018277
965.4704 186.02147 0.4472427
943.31177 186.02147 0.47617668
965.4704 221.72154 0.32770413
944.54285 221.72154 0.3760754
968.54803 256.8061 0.33333287
947.0049 252.49745 0.31953096
pose 13
366.43997 188.35378 0.7886784
369.1658 185.62794 0.78333104
365.07706 185.62794 0.7775669
374.61746 186.99086 0.6792224
360.98828 186.99086 0.7139786
381.43204 201.98296 0.77814066
351.44788 203.34587 0.8065491
384.15787 221.06377 0.63431126
348.72205 222.42668 0.6904048
382.79495 236.05583 0.43640196
351.44788 241.50752 0.43399557
375.98038 236.05583 0.5870056
356.89954 236.05583 0.5782394
375.98038 259.2254 0.47759017
356.89954 257.8625 0.35782117
375.98038 279.6692 0.44858205
360.98828 283.75793 0.34965584
pose 14
1669.521 400.21808 0.932329
1673.572 396.1671 0.93063813
1669.521 396.1671 0.8967332
1685.725 400.21808 0.90633637
1669.521 398.19263 0.6063656
1691.8015 432.62616 0.81839895
1681.674 428.57513 0.81154203
1685.725 477.18726 0.8929842
1669.521 467.05975 0.8162068
1653.3169 483.2638 0.8651342
1645.215 471.11078 0.81543607
1687.7505 493.3913 0.70306534
1675.5975 483.2638 0.6826865
1622.9343 491.36578 0.82873315
1614.8324 483.2638 0.8780623
1637.1129 548.0799 0.8509582
1631.0364 544.0289 0.80145335
pose 15
218.63155 158.41309 0.7857795
221.05937 155.98526 0.83176416
216.20372 154.77136 0.8262012
225.915 158.41309 0.63606334
211.3481 157.19916 0.76105374
231.98454 174.19388 0.75779015
206.49245 172.97998 0.8207711
236.84016 193.61642 0.65728074
205.27855 193.61642 0.61159116
236.84016 206.96945 0.3736438
207.70638 213.03897 0.39564928
229.55672 216.6807 0.5910019
211.3481 215.4668 0.5479428
228.34282 247.02841 0.4700184
212.562 247.02841 0.5040138
227.73586 276.7692 0.36231118
213.16896 276.7692 0.37678248
pose 16
414.5614 181.27635 0.762232
416.94568 178.09727 0.75507206
411.38232 177.3025 0.7729215
423.30383 180.48158 0.613785
405.8189 180.48158 0.57238245
430.4568 198.76132 0.5834834
401.0503 201.14563 0.57034075
435.2254 220.22014 0.4303639
397.87122 224.19398 0.42055926
428.86725 232.14171 0.0777533
415.35614 233.73125 0.10467884
429.66205 239.29463 0.3966197
407.40845 239.29463 0.46980324
431.2516 254.39528 0.04870792
407.40845 254.39528 0.06931472
439.19928 235.32079 0.08516182
419.33002 235.32079 0.052174993
pose 17
1291.2904 200.73178 0.7447769
1294.5806 197.44165 0.7835673
1289.6454 197.44165 0.774311
1299.5157 199.0867 0.71039003
1286.3552 200.73178 0.6460407
1306.0961 217.1824 0.7304804
1279.775 217.1824 0.727843
1309.3861 243.50339 0.6483977
1274.8398 243.50339 0.6853023
1301.1608 271.46945 0.3487393
1283.0652 271.46945 0.24416593
1299.5157 282.9849 0.4675215
1283.0652 286.27502 0.45611432
1302.8059 317.5312 0.52308923
1286.3552 317.5312 0.55408263
1302.8059 355.36765 0.46233428
1283.0652 355.36765 0.6149875
pose 18
1240.3862 203.28638 0.5741459
1243.2764 199.67374 0.5536607
1238.2186 201.1188 0.5241566
1248.334 201.1188 0.5179158
1235.3285 201.84131 0.36460766
1254.8367 216.29181 0.6249085
1228.1033 217.01434 0.60279626
1258.4493 239.41257 0.42946407
1221.6006 238.69006 0.5078991
1251.2241 253.86307 0.51884717
1225.2133 253.14053 0.47603557
1252.6692 261.81082 0.38416865
1230.2709 261.81082 0.3872209
1253.0304 273.73248 0.10875638
1231.3546 273.73248 0.10295963
1257.3656 273.73248 0.09727315
1234.2448 273.73248 0.05341138
pose 19
1441.7095 197.61017 0.648443
1443.8552 194.7491 0.5965985
1439.5636 194.7491 0.6323051
1448.862 195.46437 0.5460056
1435.2721 196.17964 0.5373139
1459.5911 211.91551 0.67960685
1428.1194 213.34605 0.6214722
1463.1675 235.5193 0.49887693
1422.3972 235.5193 0.42312905
1453.1537 240.5262 0.12736994
1440.2789 240.5262 0.14976433
1453.869 249.82466 0.46937448
1432.411 250.53993 0.42289627
1453.869 255.5468 0.034778405
1425.9735 242.67198 0.032244917
1461.0216 239.81093 0.056213938
1418.8209 241.24144 0.027646996
pose 20
816.6735 171.77432 0.38732553
819.4658 167.58585 0.3985165
811.08887 167.58585 0.42882633
832.0313 167.58585 0.3165161
797.1272 167.58585 0.26144892
836.21985 153.62418 0.22252943
795.731 148.03952 0.25896034
847.38916 178.75516 0.25186065
790.14636 177.35898 0.15837124
843.2007 202.48999 0.1574873
802.71185 206.6785 0.099656
832.0313 210.86697 0.23701786
797.1272 215.05548 0.23291042
832.0313 233.20566 0.13705711
791.54254 224.82864 0.13386519
832.0313 235.99796 0.15176277
802.71185 224.82864 0.16714321
pose 21
306.4341 221.30057 0.8462817
309.54144 216.63956 0.8480001
304.88046 218.19324 0.83449215
315.75613 219.74689 0.7662649
298.66577 219.74689 0.7817556
321.97083 235.28357 0.7409637
292.4511 238.39093 0.7963581
326.6318 257.03494 0.6006667
292.4511 258.58862 0.65397334
325.07816 269.4643 0.3477903
294.00476 289.662 0.30467835
320.41714 271.01797 0.6286202
301.77313 272.57162 0.6096335
323.52448 303.64502 0.42860764
304.88046 306.75235 0.45474213
323.52448 344.0404 0.34787086
306.4341 342.48676 0.40661454
pose 22
670.2561 138.41916 0.81418264
673.4453 135.22993 0.7978884
668.12994 135.22993 0.8276159
678.7607 136.29301 0.69859344
662.8146 136.29301 0.8065626
684.07605 152.23909 0.7374085
656.43616 151.17603 0.7335497
689.39136 168.18517 0.599989
651.1208 167.1221 0.65080476
680.8868 183.06818 0.5640049
660.6884 183.06818 0.53329927
678.7607 179.87897 0.5646209
659.62537 182.00511 0.6306682
684.07605 197.95119 0.40093595
654.31 197.95119 0.45571947
680.8868 219.21263 0.34428516
656.43616 218.14955 0.5400228
frame 2
pose 0
790.8368 616.08203 0.3947699
793.50964 610.73645 0.5721326
804.2008 610.73645 0.4322382
790.8368 618.7549 0.9385808
814.8921 616.08203 0.94542813
780.1455 648.15576 0.9027688
822.9105 645.4829 0.8977745
780.1455 680.2295 0.8960882
852.3115 672.21106 0.88658077
806.87366 680.2295 0.4327583
854.98425 661.5199 0.92483085
788.16394 722.9945 0.77497154
814.8921 722.9945 0.7703469
798.8552 784.46924 0.9259136
820.2377 784.46924 0.92273325
798.8552 832.57983 0.8642386
812.21924 832.57983 0.8774349
pose 1
945.0383 433.95618 0.98176306
949.1183 429.87616 0.98882747
942.9983 429.87616 0.96869725
959.31836 425.79614 0.92318225
940.9584 429.87616 0.84892327
973.5984 440.07617 0.8788596
940.9584 452.31616 0.9162876
993.9983 448.23615 0.9467428
930.7583 472.7162 0.9339287
969.5183 468.63617 0.92331684
920.5583 493.1162 0.8830833
991.9584 495.1562 0.7974706
969.5183 499.2362 0.81465036
977.67834 542.0762 0.9367745
963.3983 546.1562 0.9293345
975.6383 599.1962 0.91473085
985.8384 576.7562 0.9198647
pose 2
