frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
42,810.9414,620.83545,805.6765,615.57056,816.20636,612.938,800.41156,620.83545,824.10376,620.83545,789.8817,649.7926,834.6336,649.7926,792.51416,684.01465,863.59076,678.74976,839.89856,660.3224,863.59076,662.95496,800.41156,728.7666,826.7362,731.39905,808.30896,784.04834,832.00116,786.6808,808.30896,834.0652,824.10376,839.3302
43,813.1133,620.78613,807.83594,615.5088,815.75195,615.5088,799.91986,620.78613,823.668,620.78613,789.3651,649.8117,834.2228,649.8117,792.0038,684.11456,860.6096,678.8372,839.5001,660.3664,863.2483,663.0051,799.91986,726.33356,826.3067,728.9722,810.4746,781.7459,831.5841,787.02325,807.83594,834.5196,823.668,839.79694
44,812.70483,620.3383,807.44434,615.07776,812.70483,615.07776,799.55347,620.3383,823.2258,620.3383,789.0325,649.2712,833.74695,649.2712,791.6627,683.4646,860.04956,678.2041,839.00745,667.68304,862.6798,665.05273,799.55347,728.1791,825.8562,728.1791,810.0746,780.7843,831.1167,786.0448,807.44434,833.3895,823.2258,838.6501
45,812.67334,620.50195,807.4174,615.2461,815.3013,615.2461,799.53357,620.50195,823.1851,620.50195,789.0218,649.4094,833.69696,649.4094,791.6497,683.57275,859.97644,678.3169,815.3013,683.57275,862.6044,665.1771,799.53357,728.2479,825.81305,728.2479,810.0454,780.8069,831.069,786.06274,807.4174,833.36584,823.1851,838.6218
46,809.94434,620.7685,804.6809,615.5051,815.20776,615.5051,799.4175,620.7685,823.10284,620.7685,788.8907,649.7172,833.62964,649.7172,791.5224,683.9294,859.9467,676.0343,812.57605,683.9294,862.57837,665.5075,799.4175,726.0367,825.73456,726.0367,807.3126,781.3024,830.9979,786.56586,807.3126,831.3048,823.10284,836.5682
47,812.30115,621.54395,807.04785,616.2906,812.30115,616.2906,799.16785,621.54395,822.80786,621.54395,788.66113,650.4374,833.3146,647.8107,788.66113,684.58417,859.5813,676.70416,814.92786,684.58417,859.5813,666.19745,799.16785,726.61096,825.4346,726.61096,807.04785,776.5178,830.68787,787.0245,804.42114,829.05133,822.80786,839.55804
48,809.23486,621.20123,809.23486,615.98315,811.84393,615.98315,798.7987,623.8103,822.2801,621.20123,788.36255,652.5097,835.3253,649.9007,785.75354,689.03625,858.80664,678.6001,811.84393,681.20917,850.9795,665.55493,798.7987,728.1719,824.88916,728.1719,804.0168,775.1346,830.1072,788.1798,798.7987,827.31537,822.2801,840.3606
49,807.80383,625.92267,802.58795,623.3147,807.80383,620.7068,797.3721,628.5306,820.84357,625.92267,789.5482,657.21796,833.8833,654.61005,784.33234,693.7292,857.3548,683.2974,802.58795,678.08154,844.31506,659.8259,797.3721,730.2404,826.05945,730.2404,802.58795,777.1834,828.66736,790.2231,794.76416,829.3422,820.84357,844.9899
50,807.6894,618.1386,807.6894,618.1386,805.07495,618.1386,797.2315,633.8255,820.76184,631.211,786.77356,665.1993,833.8342,659.9703,778.9301,699.1875,857.36456,688.72955,789.38806,683.5006,844.2922,667.8137,797.2315,733.1757,825.9908,735.7902,799.846,777.6219,825.9908,793.3088,784.1591,827.29706,815.5329,850.82733
51,807.67523,618.2212,807.67523,618.2212,805.0614,618.2212,797.22,633.9041,820.7443,631.2903,786.7647,665.2699,833.8134,660.04224,778.9232,699.2495,857.33777,688.79425,789.37854,683.56665,844.2687,667.8837,799.8338,733.2291,825.972,735.84296,799.8338,777.66406,825.972,793.3469,784.1509,827.3266,815.5167,850.85095
52,805.70105,620.09326,810.5859,620.09326,803.2586,620.09326,795.9314,639.63257,820.35547,637.1901,786.16174,671.3839,835.00995,666.4991,771.50726,703.13525,856.9917,693.3656,778.83453,686.0384,856.9917,703.13525,798.3738,739.7714,827.68274,739.7714,798.3738,778.85,822.7979,798.3893,778.83453,827.69824,813.02826,852.1223
53,796.82996,644.52234,794.46545,637.42914,799.19434,637.42914,792.1011,644.52234,815.74524,642.15796,785.0078,675.25977,832.29614,668.16656,770.8213,705.9972,855.9403,698.904,766.0925,710.7261,855.9403,713.09045,801.5587,741.46344,829.93176,741.46344,794.46545,784.023,825.2029,800.5739,777.91455,831.31134,813.38086,850.2267
54,793.5023,647.8161,793.5023,640.8408,795.8275,638.51575,788.8522,647.8161,812.10315,643.16595,784.202,678.04236,830.70386,668.74194,767.9264,710.5937,853.95483,701.2933,786.5271,701.2933,856.2799,722.2191,800.47766,745.4701,830.70386,743.145,791.17725,789.64685,830.70386,801.27234,774.9016,833.82367,816.7533,843.124
55,794.2557,648.1508,794.2557,638.79944,794.2557,638.79944,787.2422,648.1508,812.95844,643.47516,782.5665,678.5427,831.66113,669.19135,766.20166,711.27246,855.0395,701.9211,787.2422,699.58325,857.3774,720.62384,803.60706,744.0022,833.99896,741.66437,787.2422,788.42114,838.6746,800.1103,773.21515,832.84,822.30975,832.84
56,796.70996,647.2453,789.7964,644.9408,799.01447,642.6363,789.7964,649.5498,812.8415,644.9408,782.8829,677.2039,831.2776,667.9859,766.7513,704.85803,856.6272,700.249,769.05585,704.85803,861.23627,718.6851,803.6235,744.0347,835.88666,741.7302,782.8829,785.5159,845.1047,799.34296,773.66486,831.60614,833.5821,820.08356
57,796.6326,647.26904,789.7176,644.9641,798.9377,642.65906,789.7176,649.5741,812.76776,644.9641,782.80255,677.23425,831.2079,668.0143,768.9724,704.89453,856.5631,700.2844,768.9724,704.89453,861.17316,718.7246,805.8527,744.07983,838.123,741.7748,782.80255,787.8751,845.038,799.40015,773.58246,831.6704,833.51294,820.1454
